#{"t_start": 1721369597.867865, "env_id": null}
r,l,t,d
-6762.355677,833,2573.725385,0.5766159071287493
-60.067212,693,2581.51911,0.741666410341893
-7379.52234,1528,2593.661298,0.4862854259314793
223.201978,471,2599.291448,0.38949559245949067
-1063.246382,866,2609.849961,0.34145675467102016
-7621.024865,850,2618.958136,0.5473688976493458
-1022.90669,1,2618.97285,13.063720834293129
-7584.790817,1651,2637.639147,8.431770542298517
-9187.029184,2140,2664.200449,0.41757610784331023
-126.14467,550,2670.665309,0.7322933381038476
-1984.987593,1233,2686.109133,0.5874741774125999
-1959.302122,806,2696.330189,0.41471740388873457
-5766.941955,732,2705.558924,5.607613149881221
-452.152895,869,2716.615978,1.7912769481570077
-2728.259755,104,2717.923367,13.241408126635463
-1100.61801,236,2720.97251,4.740706814221458
-1893.169989,58,2721.729916,35.24635475504769
-2911.405881,1686,2742.473858,2.216094649639294
-1843.498053,867,2750.328791,0.5051305205536881
-1098.76208,55,2750.685909,5.760978886153022
-10499.859295,704,2755.437735,8.14882734819097
-291.275518,662,2760.054095,0.4785405681170027
0.564671,489,2763.547619,0.3266142775947436
-6644.654152,812,2769.462892,1.0902997846119444
-1397.969932,495,2773.472635,2.0757462951821157
-3697.016597,1864,2786.756805,0.43352415592461147
-2003.348326,389,2789.411195,13.674273477549443
-1001.856425,1,2789.418196,8.726333239640265
-6613.618423,887,2795.360325,0.40896095664282933
-120.380628,575,2799.085381,1.1194265752594132
-1340.220481,185,2800.251357,8.520069702082685
-8017.528956,905,2806.125216,5.0565121749438315
30.532799,551,2809.651175,0.5839153636513824
-158.28885,577,2813.366174,1.6223669993309953
-481.591847,820,2818.599425,0.4184049228915932
38.608331,512,2821.921033,0.5438793293595804
-1730.424414,609,2825.79341,4.4214765792429045
-921.955625,1361,2834.605415,0.563811148355142
-1516.317267,516,2837.969576,0.4808427521816788
-289.107112,603,2841.822659,0.6658277817004578
-6988.387968,1372,2850.676932,5.058477044228172
-4636.940086,737,2855.519096,0.30376262726979303
283.517021,501,2858.717147,0.6580780250726952
266.846915,365,2861.153134,0.3861919775841774
448.767423,304,2863.112379,0.7484132562693758
-1024.515715,1,2863.119378,17.240772041810057
-1093.988337,35,2863.349406,6.918846296737299
-5578.754678,1901,2875.601064,0.4970785615289535
-7938.580824,818,2880.924091,0.33315891810114984
-13075.46754,1045,2887.725345,0.4236658973134104
-9004.321864,1765,2899.129365,0.6645005746834154
173.447172,393,2901.696352,0.3469318190722695
-157.243766,669,2906.023676,0.6665690134891176
-1438.871951,537,2909.526202,1.4124504413596626
-5245.817934,1882,2921.759758,1.3673197889906727
-1449.959416,306,2923.743263,9.27083910362135
-307.355068,706,2928.328554,0.5632710217766161
-1754.995354,521,2931.686461,3.5762532258949244
-1174.171464,146,2932.667818,2.1914216848770813
-5352.063338,879,2938.324434,0.4249428486483352
-2804.087686,813,2943.61509,0.9561300464656858
-1832.925878,462,2946.626217,10.229112377145155
-2341.192444,845,2952.135239,0.48209819284943695
567.214794,271,2953.876276,0.5408512920971332
-4731.439903,1478,2963.435485,0.33510287456924753
-8641.186252,925,2969.423998,1.2205760810094415
-8222.242022,830,2974.817596,0.43064087645766713
-4662.282418,714,2979.450588,0.35269618220082205
-512.228926,734,2984.272691,0.3251629800892931
-527.36565,707,2988.862391,0.3514503272991559
-3085.166174,656,2993.132136,0.4153640480402996
-72.090165,593,2997.009674,0.7666321248860365
-1723.792413,511,3000.284911,1.3118982178671117
-493.945004,789,3005.477173,0.5456114291127968
-9046.011503,1163,3013.081661,0.529711108286671
-12.651491,495,3016.283148,0.492144884093636
-9412.895082,920,3022.28251,0.3940004196336039
-1142.344934,1284,3030.62158,0.4372171641508221
96.179814,648,3034.838348,0.3373364675635165
-13868.514627,978,3041.196851,0.38059073610884336
65.031191,445,3044.140455,0.4853260850504736
-1001.889301,1,3044.147454,7.380777449397247
-4481.986348,683,3048.600353,0.3678170953359353
-148.707595,588,3052.488787,0.5764733387629655
751.0579,218,3053.916461,0.47885719800077686
-5293.319944,1718,3065.084232,29.277471966780627
392.832331,471,3068.300274,0.33120180270542054
-845.474447,530,3071.948398,0.36869064026118425
-4302.460131,753,3076.920325,0.4278742517594216
-2472.864711,886,3082.645759,7.9738289400917335
131.564088,396,3085.224967,0.45996109738549834
-1319.358375,532,3088.671998,0.6847883515111458
-1582.573993,590,3092.47906,1.7605636687078134
-4592.376382,1252,3100.61842,0.8245591784955998
-825.991965,941,3106.703775,0.4795208458183513
-4852.338396,737,3111.545411,0.5048640470869694
-7437.370289,941,3117.681694,0.5939812896216685
174.475724,442,3120.627307,0.9769612613050725
-17.223292,574,3124.360283,0.36802063346365077
-318.31042,669,3128.688525,1.556011962926092
424.414459,294,3130.567898,0.35329164765529864
181.254498,418,3133.363316,0.560829148988903
-1330.048152,557,3136.960954,0.42255136858562964
188.212285,542,3140.508225,0.30048893416528033
-5676.225188,863,3146.088427,0.7912283384503004
-157.525028,599,3149.967863,0.45269297611131176
-2327.870899,611,3153.949773,20.06444190768155
157.552605,497,3157.218747,0.3779863792019873
-3907.091324,504,3160.476522,3.6633688758936716
-6793.856706,968,3166.81841,0.6009795005473816
-1267.386349,322,3168.912372,6.791942184172713
-817.190712,1179,3176.581026,0.3983153657778054
158.352107,439,3179.447314,0.4319176930555557
-8735.460773,851,3184.996797,0.6715166272223616
-1301.248163,462,3188.01775,3.961403953850727
